P,PET,Qobs,Qsim
5.7000,0.5600,4.0540,4.163
11.9000,0.5800,3.9880,4.915
13.6000,0.5800,8.0090,6.674
12.5000,0.5800,7.6430,8.356
4.2000,0.5800,7.8420,8.516
0.6000,0.5700,5.6160,6.716
21.4000,0.5700,7.7430,6.942
16.3000,0.5700,11.6310,11.146
1.5000,0.5600,10.6670,11.033
2.0000,0.5600,6.9780,7.629
0.1000,0.5500,5.9150,5.890
3.9000,0.5300,5.0180,5.024
0.2000,0.5200,4.8180,4.732
0.0000,0.5100,4.3200,4.021
0.0000,0.5100,3.8220,3.511
2.9000,0.5000,3.5560,3.313
1.9000,0.5000,3.5890,3.401
10.6000,0.4900,3.3230,3.885
15.2000,0.4900,7.3770,6.052
0.0000,0.4800,8.6400,7.428
3.1000,0.4800,4.8520,5.807
0.4000,0.4700,4.3860,5.019
0.0000,0.4600,4.0210,4.209
0.0000,0.4600,3.6220,3.647
0.0000,0.4600,3.4230,3.266
0.0000,0.4600,3.2570,2.978
0.0000,0.4600,3.0570,2.753
0.0000,0.4600,2.8410,2.572
0.0000,0.4600,2.6750,2.423
0.0000,0.4600,2.4420,2.298
0.0000,0.4600,2.4090,2.191
